Initializing env
'MountainCarEnv' object has no attribute 'init'
Initializing basis
Initializing agent
Initializing reward_func
'super' object has no attribute 'init'
Initializing gamma_func
Initializing offpolicy
'bool' object has no attribute 'init'
Initializing max_episodes
'int' object has no attribute 'init'
Initializing buffer_size
'int' object has no attribute 'init'
Initializing batch_size
'int' object has no attribute 'init'
Initializing seed
'int' object has no attribute 'init'
Episode: 144 | Total Reward: -92.0 | Length: 92 | Avg Reward: -1.0
Episode: 145 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 146 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 147 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 148 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 149 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 150 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 151 | Total Reward: -72.0 | Length: 72 | Avg Reward: -1.0
Episode: 152 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 153 | Total Reward: -59.0 | Length: 59 | Avg Reward: -1.0
Episode: 154 | Total Reward: -67.0 | Length: 67 | Avg Reward: -1.0
Episode: 155 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 156 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 157 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 158 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 159 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 160 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 161 | Total Reward: -65.0 | Length: 65 | Avg Reward: -1.0
Episode: 162 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 163 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 164 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 165 | Total Reward: -69.0 | Length: 69 | Avg Reward: -1.0
Episode: 166 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 167 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 168 | Total Reward: -99.0 | Length: 99 | Avg Reward: -1.0
Episode: 169 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 170 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 171 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 172 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 173 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 174 | Total Reward: -93.0 | Length: 93 | Avg Reward: -1.0
Episode: 175 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 176 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 177 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 178 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 179 | Total Reward: -77.0 | Length: 77 | Avg Reward: -1.0
Episode: 180 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 181 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 182 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 183 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 184 | Total Reward: -65.0 | Length: 65 | Avg Reward: -1.0
Episode: 185 | Total Reward: -76.0 | Length: 76 | Avg Reward: -1.0
Episode: 186 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 187 | Total Reward: -75.0 | Length: 75 | Avg Reward: -1.0
Episode: 188 | Total Reward: -60.0 | Length: 60 | Avg Reward: -1.0
Episode: 189 | Total Reward: -99.0 | Length: 99 | Avg Reward: -1.0
Episode: 190 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 191 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 192 | Total Reward: -84.0 | Length: 84 | Avg Reward: -1.0
Episode: 193 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 194 | Total Reward: -52.0 | Length: 52 | Avg Reward: -1.0
Episode: 195 | Total Reward: -80.0 | Length: 80 | Avg Reward: -1.0
Episode: 196 | Total Reward: -53.0 | Length: 53 | Avg Reward: -1.0
Episode: 197 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 198 | Total Reward: -69.0 | Length: 69 | Avg Reward: -1.0
Episode: 199 | Total Reward: -101.0 | Length: 101 | Avg Reward: -1.0
Episode: 200 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 201 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 202 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 203 | Total Reward: -56.0 | Length: 56 | Avg Reward: -1.0
Episode: 204 | Total Reward: -97.0 | Length: 97 | Avg Reward: -1.0
Episode: 205 | Total Reward: -59.0 | Length: 59 | Avg Reward: -1.0
Episode: 206 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 207 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 208 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 209 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 210 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 211 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 212 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 213 | Total Reward: -50.0 | Length: 50 | Avg Reward: -1.0
Episode: 214 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 215 | Total Reward: -72.0 | Length: 72 | Avg Reward: -1.0
Episode: 216 | Total Reward: -62.0 | Length: 62 | Avg Reward: -1.0
Episode: 217 | Total Reward: -66.0 | Length: 66 | Avg Reward: -1.0
Episode: 218 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 219 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 220 | Total Reward: -85.0 | Length: 85 | Avg Reward: -1.0
Episode: 221 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 222 | Total Reward: -51.0 | Length: 51 | Avg Reward: -1.0
Episode: 223 | Total Reward: -63.0 | Length: 63 | Avg Reward: -1.0
Episode: 224 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 225 | Total Reward: -70.0 | Length: 70 | Avg Reward: -1.0
Episode: 226 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 227 | Total Reward: -58.0 | Length: 58 | Avg Reward: -1.0
Episode: 228 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 229 | Total Reward: -54.0 | Length: 54 | Avg Reward: -1.0
Episode: 230 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 231 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 232 | Total Reward: -47.0 | Length: 47 | Avg Reward: -1.0
Episode: 233 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 234 | Total Reward: -62.0 | Length: 62 | Avg Reward: -1.0
Episode: 235 | Total Reward: -88.0 | Length: 88 | Avg Reward: -1.0
Episode: 236 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 237 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
